Time frequency,Stock or flow,External trade indicator,Geopolitical entity (partner),"Standard International Trade Classification (SITC Rev. 4, 2006)",Geopolitical entity (reporting),Time,value
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),Beverages and tobacco,European Union - 27 countries (from 2020),2024-07,4812.0
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),Beverages and tobacco,European Union - 27 countries (from 2020),2024-08,4083.7
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),Beverages and tobacco,European Union - 27 countries (from 2020),2024-09,4312.5
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),Beverages and tobacco,European Union - 27 countries (from 2020),2024-10,4519.1
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),Beverages and tobacco,European Union - 27 countries (from 2020),2024-11,4315.6
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),Beverages and tobacco,European Union - 27 countries (from 2020),2024-12,3896.5
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),Beverages and tobacco,European Union - 27 countries (from 2020),2025-01,3658.9
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),Beverages and tobacco,European Union - 27 countries (from 2020),2025-02,3817.7
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),Beverages and tobacco,European Union - 27 countries (from 2020),2025-03,4212.3
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),Beverages and tobacco,European Union - 27 countries (from 2020),2025-04,4415.8
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),Beverages and tobacco,European Union - 27 countries (from 2020),2025-05,4677.2
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),Beverages and tobacco,European Union - 27 countries (from 2020),2025-06,4723.5
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),Beverages and tobacco,European Union - 27 countries (from 2020),2025-07,5063.4
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),Beverages and tobacco,European Union - 27 countries (from 2020),2025-08,4042.1
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),Beverages and tobacco,European Union - 27 countries (from 2020),2025-09,4710.2
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),Beverages and tobacco,European Union - 27 countries (from 2020),2025-10,4713.7
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),Beverages and tobacco,European Union - 27 countries (from 2020),2025-11,4466.5
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),Beverages and tobacco,European Union - 27 countries (from 2020),2025-12,4094.3
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),Beverages and tobacco,European Union - 27 countries (from 2020),2026-01,3167.1
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),Beverages and tobacco,European Union - 27 countries (from 2020),2026-02,3863.7
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),Beverages and tobacco,European Union - 27 countries (from 2020),2026-03,4592.6
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),Beverages and tobacco,European Union - 27 countries (from 2020),2026-04,4510.0
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),Beverages and tobacco,European Union - 27 countries (from 2020),2026-05,4486.6
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),Raw materials,European Union - 27 countries (from 2020),2023-01,11856.7
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),Raw materials,European Union - 27 countries (from 2020),2023-02,12784.5
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),Raw materials,European Union - 27 countries (from 2020),2023-03,14456.8
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),Raw materials,European Union - 27 countries (from 2020),2023-04,11937.2
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),Raw materials,European Union - 27 countries (from 2020),2023-05,13329.4
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),Raw materials,European Union - 27 countries (from 2020),2023-06,11822.0
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),Raw materials,European Union - 27 countries (from 2020),2023-07,10560.2
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),Raw materials,European Union - 27 countries (from 2020),2023-08,9995.4
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),Raw materials,European Union - 27 countries (from 2020),2023-09,11031.1
Monthly,Imports,Trade value in million ECU/EURO,European Union - 27 countries (from 2020),Raw materials,European Union - 27 countries (from 2020),2023-10,11313.6
