Time frequency,Standard international energy product classification (SIEC),Geopolitical entity (partner),Unit of measure,Geopolitical entity (reporting),Time,value
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Estonia,2000,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Estonia,2001,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Estonia,2002,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Estonia,2003,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Estonia,2004,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Estonia,2005,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Estonia,2006,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Estonia,2007,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Estonia,2008,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Estonia,2009,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Estonia,2010,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Estonia,2011,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Estonia,2012,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Estonia,2013,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Estonia,2014,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Estonia,2015,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Estonia,2016,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Estonia,2017,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Estonia,2018,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Estonia,2019,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Estonia,2020,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Estonia,2021,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Estonia,2022,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Estonia,2023,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Estonia,2024,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Ireland,2000,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Ireland,2001,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Ireland,2002,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Ireland,2003,0.0
Annual,Liquefied natural gas,Austria,Terajoule (gross calorific value - GCV),Ireland,2004,0.0
