Time frequency,Unit of measure,Stock or flow,Products and final uses,"Products, adjustments and value added",Geopolitical entity (reporting),Time,value,country
Annual,Million euro,Total,Exports of goods and services,Machinery and equipment n.e.c.,Czechia,2020,15234.1,CZ
Annual,Million euro,Total,Legal and accounting services,Output,Belgium,2022,15233.3,BE
Annual,Million euro,Total,"Computer, electronic and optical products",Imports of goods and services,Belgium,2020,15223.6,BE
Annual,Million euro,Total,Final consumption expediture,Warehousing and support services for transportation,Italy,2021,15222.69,IT
Annual,Million euro,Total,Sporting services and amusement and recreation services,Total supply at basic prices,Italy,2020,15221.46,IT
Annual,Million euro,Total,Total use,Sporting services and amusement and recreation services,Italy,2020,15221.46,IT
Annual,Million euro,Total,Legal and accounting services; services of head offices; management consultancy services,Compensation of employees,Italy,2020,15220.45,IT
Annual,Million euro,Total,Total final use,"Financial services, except insurance and pension funding",Italy,2020,15219.44,IT
Annual,Million euro,Total,Services furnished by membership organisations,"Value added, gross",France,2021,15218.97,FR
Annual,Million euro,Total,Rubber and plastic products,Imports of goods and services from non-EU countries,Germany,2022,15218.0,DE
Annual,Million euro,Total,Exports of goods and services to EU countries outside the euro area,Basic metals,Germany,2022,15212.0,DE
Annual,Million euro,Total,Total final use,Basic metals,France,2020,15204.52,FR
Annual,Million euro,Total,Sporting services and amusement and recreation services,Output,Italy,2020,15202.09,IT
Annual,Million euro,Total,Other personal services,Output,France,2020,15197.6,FR
Annual,Million euro,Total,Exports of goods and services to non-EU countries,Other transport equipment,Italy,2022,15196.32,IT
Annual,Million euro,Total,Air transport services,Coke and refined petroleum products,Germany,2022,15195.0,DE
Annual,Million euro,Total,Exports of goods and services to euro area countries,"Retail trade services, except of motor vehicles and motorcycles",Spain,2021,15192.8,ES
Annual,Million euro,Total,Exports of goods and services,Beverages,France,2021,15192.4,FR
Annual,Million euro,Total,Gross capital formation,Scientific research and development services,Sweden,2023,15188.52,SE
